# mojito-sys SYS-4 fast-path allocation counts (issue #122).
# Generated by tools/migration_baseline/run_alloc_counts.sh via
# alloc_probe_shim.c (dyld interposing malloc/calloc/realloc/free
# counter) + alloc_count_fastpaths.c; do not hand-edit.
# host: Darwin/arm64/25.6.0
#
# name	iterations	alloc_calls_total	free_calls_total
mjs_page_size	100000	0	0
mjs_clock_now	100000	0	0
mjs_vm_commit+decommit	1000	0	0
mjs_tls_get	100000	0	0
mjs_thread_spawn+join	200	200	200
ms_context_switch (self-capture)	100000	0	0
mjs_event_signal+wait	100000	0	0
mjs_atomic_wake_one_u32 (FIRST call: lazy 256-slot table init, macOS fallback)	1	512	0
mjs_atomic_wake_one_u32 (steady state, no waiter)	100000	0	0
mjs_poller_wake	100000	0	0
